EXCEEDANCE_ID,WELL_TEST_ID,EXCEEDANCE_REQUIRED,NOTIFICATION_DATE,NOTIFICATION_METHOD,CREATE_TIMESTAMP,CREATE_USERID
101982,5371,No,,,2011-10-20 10:38:47.710000000,CONVERSION
101984,8254,No,,,2011-10-20 10:38:47.710000000,CONVERSION
101986,9068,No,,,2011-10-20 10:38:47.710000000,CONVERSION
101988,10032,Yes,,,2011-10-20 10:38:47.710000000,CONVERSION
101990,9069,Yes,,,2011-10-20 10:38:47.710000000,CONVERSION
101992,11584,No,,,2011-10-20 10:38:47.710000000,CONVERSION
101994,8203,No,,,2011-10-20 10:38:47.710000000,CONVERSION
101996,8204,No,,,2011-10-20 10:38:47.710000000,CONVERSION
101998,7442,Yes,2009-02-05,Fax,2011-10-20 10:38:47.710000000,CONVERSION
102000,8348,Yes,,,2011-10-20 10:38:47.710000000,CONVERSION
102002,12708,Yes,,,2011-10-20 10:38:47.710000000,CONVERSION
102004,10146,Yes,2009-03-01,Letter,2011-10-20 10:38:47.710000000,CONVERSION
102006,11585,No,,,2011-10-20 10:38:47.710000000,CONVERSION
102008,10147,Yes,2009-03-09,Phone,2011-10-20 10:38:47.710000000,CONVERSION
102010,8349,No,,,2011-10-20 10:38:47.710000000,CONVERSION
102012,7443,No,,,2011-10-20 10:38:47.710000000,CONVERSION
102014,12643,No,,,2011-10-20 10:38:47.710000000,CONVERSION
102016,8546,No,,,2011-10-20 10:38:47.710000000,CONVERSION
102018,8848,Yes,2009-03-02,Letter,2011-10-20 10:38:47.710000000,CONVERSION
102020,5372,No,,,2011-10-20 10:38:47.710000000,CONVERSION
102022,8849,No,,,2011-10-20 10:38:47.710000000,CONVERSION
102028,12709,Yes,2009-03-14,Letter,2011-10-20 10:38:47.710000000,CONVERSION
102030,8205,Yes,2009-02-12,Phone,2011-10-20 10:38:47.710000000,CONVERSION
102032,8206,Yes,2009-03-14,Letter,2011-10-20 10:38:47.710000000,CONVERSION
102034,5399,Yes,2009-02-12,Phone,2011-10-20 10:38:47.710000000,CONVERSION
102036,11946,Yes,2009-03-14,Letter,2011-10-20 10:38:47.710000000,CONVERSION
102038,10200,Yes,2009-03-01,Letter,2011-10-20 10:38:47.710000000,CONVERSION
102040,12710,Yes,2009-03-01,Letter,2011-10-20 10:38:47.710000000,CONVERSION
102042,10033,Yes,,,2011-10-20 10:38:47.710000000,CONVERSION
102044,9415,Yes,2009-02-02,Phone,2011-10-20 10:38:47.710000000,CONVERSION
102046,8350,Yes,2009-02-24,Phone,2011-10-20 10:38:47.710000000,CONVERSION
102048,10201,Yes,2009-03-12,Phone,2011-10-20 10:38:47.710000000,CONVERSION
102050,12068,No,,,2011-10-20 10:38:47.710000000,CONVERSION
102052,5373,Yes,2009-02-05,A combination of the above,2011-10-20 10:38:47.710000000,CONVERSION
102054,12069,No,,,2011-10-20 10:38:47.710000000,CONVERSION
102056,9530,Yes,2009-02-10,A combination of the above,2011-10-20 10:38:47.710000000,CONVERSION
102058,11558,No,,,2011-10-20 10:38:47.710000000,CONVERSION
102060,9531,No,,,2011-10-20 10:38:47.710000000,CONVERSION
102062,5400,No,,,2011-10-20 10:38:47.710000000,CONVERSION
102064,8850,No,,,2011-10-20 10:38:47.710000000,CONVERSION
102066,10034,No,,,2011-10-20 10:38:47.710000000,CONVERSION
102068,8851,Yes,2009-01-23,Letter,2011-10-20 10:38:47.710000000,CONVERSION
102070,8351,No,,,2011-10-20 10:38:47.710000000,CONVERSION
102072,11313,Yes,2009-01-26,A combination of the above,2011-10-20 10:38:47.710000000,CONVERSION
102074,11314,No,,,2011-10-20 10:38:47.710000000,CONVERSION
102076,5401,No,,,2011-10-20 10:38:47.710000000,CONVERSION
102078,10508,Yes,2009-01-26,A combination of the above,2011-10-20 10:38:47.710000000,CONVERSION
102080,11315,Yes,2009-01-27,A combination of the above,2011-10-20 10:38:47.710000000,CONVERSION
102082,8255,No,,,2011-10-20 10:38:47.710000000,CONVERSION
102084,8852,No,,,2011-10-20 10:38:47.710000000,CONVERSION
102086,11559,No,,,2011-10-20 10:38:47.710000000,CONVERSION
102088,8207,No,,,2011-10-20 10:38:47.710000000,CONVERSION
102090,7444,No,,,2011-10-20 10:38:47.710000000,CONVERSION
102092,9532,No,,,2011-10-20 10:38:47.710000000,CONVERSION
102094,11560,No,,,2011-10-20 10:38:47.710000000,CONVERSION
102096,10509,No,,,2011-10-20 10:38:47.710000000,CONVERSION
102098,12070,Yes,2009-01-23,A combination of the above,2011-10-20 10:38:47.710000000,CONVERSION
102100,9416,Yes,2009-02-19,Phone,2011-10-20 10:38:47.710000000,CONVERSION
102102,9533,Yes,2009-03-16,Phone,2011-10-20 10:38:47.710000000,CONVERSION
102104,9070,Yes,2009-03-16,Phone,2011-10-20 10:38:47.710000000,CONVERSION
102106,10510,No,,,2011-10-20 10:38:47.710000000,CONVERSION
102108,9071,Yes,2009-03-13,Phone,2011-10-20 10:38:47.710000000,CONVERSION
102110,5402,Yes,2009-03-12,Phone,2011-10-20 10:38:47.710000000,CONVERSION
102112,11947,Yes,2009-02-18,Phone,2011-10-20 10:38:47.710000000,CONVERSION
102114,8256,Yes,2009-02-17,Phone,2011-10-20 10:38:47.710000000,CONVERSION
102116,8547,Yes,2009-03-18,A combination of the above,2011-10-20 10:38:47.710000000,CONVERSION
102118,8208,Yes,2009-02-23,A combination of the above,2011-10-20 10:38:47.710000000,CONVERSION
102120,11948,No,,,2011-10-20 10:38:47.710000000,CONVERSION
102122,9417,No,,,2011-10-20 10:38:47.710000000,CONVERSION
102124,5403,Yes,2009-02-10,A combination of the above,2011-10-20 10:38:47.710000000,CONVERSION
102126,12071,No,,,2011-10-20 10:38:47.710000000,CONVERSION
102128,10202,Yes,2009-02-10,A combination of the above,2011-10-20 10:38:47.710000000,CONVERSION
102130,11586,Yes,2009-02-10,A combination of the above,2011-10-20 10:38:47.710000000,CONVERSION
102132,9534,No,,,2011-10-20 10:38:47.710000000,CONVERSION
102134,8853,No,,,2011-10-20 10:38:47.710000000,CONVERSION
102136,12072,Yes,2009-02-10,A combination of the above,2011-10-20 10:38:47.710000000,CONVERSION
102138,10203,No,,,2011-10-20 10:38:47.710000000,CONVERSION
102140,4815,No,,,2011-10-20 10:38:47.710000000,CONVERSION
102142,11949,Yes,2009-02-03,A combination of the above,2011-10-20 10:38:47.710000000,CONVERSION
102144,12711,No,,,2011-10-20 10:38:47.710000000,CONVERSION
102146,11561,No,,,2011-10-20 10:38:47.710000000,CONVERSION
102148,5404,No,,,2011-10-20 10:38:47.710000000,CONVERSION
102150,7445,No,,,2011-10-20 10:38:47.710000000,CONVERSION
102152,8257,No,,,2011-10-20 10:38:47.710000000,CONVERSION
102154,8548,No,,,2011-10-20 10:38:47.710000000,CONVERSION
102156,8352,No,,,2011-10-20 10:38:47.710000000,CONVERSION
102158,10148,Yes,2009-03-01,Letter,2011-10-20 10:38:47.710000000,CONVERSION
102160,4816,Yes,2009-02-24,Phone,2011-10-20 10:38:47.710000000,CONVERSION
102162,9535,Yes,2009-02-12,Phone,2011-10-20 10:38:47.710000000,CONVERSION
102164,12644,Yes,2009-02-24,Phone,2011-10-20 10:38:47.710000000,CONVERSION
102166,9536,No,,,2011-10-20 10:38:47.710000000,CONVERSION
102168,9537,No,,,2011-10-20 10:38:47.710000000,CONVERSION
102170,8209,No,,,2011-10-20 10:38:47.710000000,CONVERSION
102172,12073,No,,,2011-10-20 10:38:47.710000000,CONVERSION
102174,10204,No,,,2011-10-20 10:38:47.710000000,CONVERSION
102176,9538,No,,,2011-10-20 10:38:47.710000000,CONVERSION
102178,4817,No,,,2011-10-20 10:38:47.710000000,CONVERSION
102180,8854,No,,,2011-10-20 10:38:47.710000000,CONVERSION
102182,11587,No,,,2011-10-20 10:38:47.710000000,CONVERSION
102184,11950,No,,A combination of the above,2011-10-20 10:38:47.710000000,CONVERSION
102186,8549,No,,,2011-10-20 10:38:47.710000000,CONVERSION
102188,12074,No,,,2011-10-20 10:38:47.710000000,CONVERSION
102190,8353,No,,,2011-10-20 10:38:47.710000000,CONVERSION
102192,4818,Yes,2009-02-05,A combination of the above,2011-10-20 10:38:47.710000000,CONVERSION
102194,5374,Yes,2009-02-03,A combination of the above,2011-10-20 10:38:47.710000000,CONVERSION
102196,8354,No,,,2011-10-20 10:38:47.710000000,CONVERSION
102198,5375,Yes,2009-02-03,A combination of the above,2011-10-20 10:38:47.710000000,CONVERSION
102200,11562,Yes,2009-02-03,A combination of the above,2011-10-20 10:38:47.710000000,CONVERSION
102202,11588,No,,,2011-10-20 10:38:47.710000000,CONVERSION
102204,12712,No,,,2011-10-20 10:38:47.710000000,CONVERSION
102206,8855,No,,,2011-10-20 10:38:47.710000000,CONVERSION
102208,10205,No,,,2011-10-20 10:38:47.710000000,CONVERSION
102210,9418,Yes,2009-03-19,Letter,2011-10-20 10:38:47.710000000,CONVERSION
102212,9419,Yes,2009-03-19,Letter,2011-10-20 10:38:47.710000000,CONVERSION
102214,10206,Yes,2009-03-19,Letter,2011-10-20 10:38:47.710000000,CONVERSION
102216,9539,Yes,2009-03-19,Letter,2011-10-20 10:38:47.710000000,CONVERSION
102218,12754,Yes,2009-03-24,Letter,2011-10-20 10:38:47.710000000,CONVERSION
102220,6632,Yes,,,2011-10-20 10:38:47.710000000,CONVERSION
102222,12075,Yes,,,2011-10-20 10:38:47.710000000,CONVERSION
102224,9072,Yes,,,2011-10-20 10:38:47.710000000,CONVERSION
102226,8550,Yes,,,2011-10-20 10:38:47.710000000,CONVERSION
102228,6633,Yes,,,2011-10-20 10:38:47.710000000,CONVERSION
102230,8210,Yes,,,2011-10-20 10:38:47.710000000,CONVERSION
102232,8856,Yes,,,2011-10-20 10:38:47.710000000,CONVERSION
102234,10149,Yes,,,2011-10-20 10:38:47.710000000,CONVERSION
102236,4819,No,,,2011-10-20 10:38:47.710000000,CONVERSION
102238,12645,No,,,2011-10-20 10:38:47.710000000,CONVERSION
102240,7446,No,,,2011-10-20 10:38:47.710000000,CONVERSION
102242,9073,No,,,2011-10-20 10:38:47.710000000,CONVERSION
102244,8258,No,,,2011-10-20 10:38:47.710000000,CONVERSION
102246,8857,No,,,2011-10-20 10:38:47.710000000,CONVERSION
102248,12755,No,,,2011-10-20 10:38:47.710000000,CONVERSION
102250,10150,No,,,2011-10-20 10:38:47.710000000,CONVERSION
102252,10511,Yes,2009-02-03,A combination of the above,2011-10-20 10:38:47.710000000,CONVERSION
102254,5376,No,,,2011-10-20 10:38:47.710000000,CONVERSION
102256,10151,No,,,2011-10-20 10:38:47.710000000,CONVERSION
102258,5377,No,,,2011-10-20 10:38:47.710000000,CONVERSION
102260,5405,No,,,2011-10-20 10:38:47.710000000,CONVERSION
102262,12076,No,,,2011-10-20 10:38:47.710000000,CONVERSION
102264,8858,No,,,2011-10-20 10:38:47.710000000,CONVERSION
102266,5406,No,,,2011-10-20 10:38:47.710000000,CONVERSION
102268,8259,No,,,2011-10-20 10:38:47.710000000,CONVERSION
102270,9420,No,,,2011-10-20 10:38:47.710000000,CONVERSION
102272,12646,No,,,2011-10-20 10:38:47.710000000,CONVERSION
102274,11316,Yes,2009-02-10,A combination of the above,2011-10-20 10:38:47.710000000,CONVERSION
102276,10035,No,,,2011-10-20 10:38:47.710000000,CONVERSION
102278,8551,No,,,2011-10-20 10:38:47.710000000,CONVERSION
102280,11317,No,,,2011-10-20 10:38:47.710000000,CONVERSION
102282,5407,Yes,2009-02-06,A combination of the above,2011-10-20 10:38:47.710000000,CONVERSION
102284,8355,No,,,2011-10-20 10:38:47.710000000,CONVERSION
102286,12077,No,,,2011-10-20 10:38:47.710000000,CONVERSION
102288,12647,No,,,2011-10-20 10:38:47.710000000,CONVERSION
102290,10512,No,,,2011-10-20 10:38:47.710000000,CONVERSION
102292,11563,Yes,2009-02-03,Letter,2011-10-20 10:38:47.710000000,CONVERSION
102294,6634,No,,,2011-10-20 10:38:47.710000000,CONVERSION
102296,9540,No,,,2011-10-20 10:38:47.710000000,CONVERSION
102298,11318,Yes,2009-03-20,Letter,2011-10-20 10:38:47.710000000,CONVERSION
102300,8859,No,,,2011-10-20 10:38:47.710000000,CONVERSION
102302,8211,No,,,2011-10-20 10:38:47.710000000,CONVERSION
102304,11951,No,,,2011-10-20 10:38:47.710000000,CONVERSION
102306,8552,No,,,2011-10-20 10:38:47.710000000,CONVERSION
102308,11564,No,,,2011-10-20 10:38:47.710000000,CONVERSION
102310,11589,No,,,2011-10-20 10:38:47.710000000,CONVERSION
102312,5378,Yes,2009-02-03,A combination of the above,2011-10-20 10:38:47.710000000,CONVERSION
102314,11319,No,,,2011-10-20 10:38:47.710000000,CONVERSION
102316,9421,No,,,2011-10-20 10:38:47.710000000,CONVERSION
102318,8260,Yes,2009-02-12,A combination of the above,2011-10-20 10:38:47.710000000,CONVERSION
102320,7447,No,,,2011-10-20 10:38:47.710000000,CONVERSION
102322,9541,No,,,2011-10-20 10:38:47.710000000,CONVERSION
102324,8356,No,,,2011-10-20 10:38:47.710000000,CONVERSION
102326,10207,No,,,2011-10-20 10:38:47.710000000,CONVERSION
102328,6635,No,,,2011-10-20 10:38:47.710000000,CONVERSION
102330,8357,No,,,2011-10-20 10:38:47.710000000,CONVERSION
102332,7448,Yes,2009-02-12,A combination of the above,2011-10-20 10:38:47.710000000,CONVERSION
102334,10513,Yes,,,2011-10-20 10:38:47.710000000,CONVERSION
102336,4820,Yes,2009-03-23,A combination of the above,2011-10-20 10:38:47.710000000,CONVERSION
102338,10208,Yes,2009-03-26,Letter,2011-10-20 10:38:47.710000000,CONVERSION
102340,9422,Yes,2009-02-24,Phone,2011-10-20 10:38:47.710000000,CONVERSION
102342,9423,Yes,2009-03-26,Letter,2011-10-20 10:38:47.710000000,CONVERSION
102344,10514,Yes,2009-03-23,Letter,2011-10-20 10:38:47.710000000,CONVERSION
102346,5408,Yes,2009-03-24,Letter,2011-10-20 10:38:47.710000000,CONVERSION
102348,10036,Yes,2009-02-24,Phone,2011-10-20 10:38:47.710000000,CONVERSION
102350,11590,Yes,,,2011-10-20 10:38:47.710000000,CONVERSION
102352,9542,Yes,2009-03-24,Letter,2011-10-20 10:38:47.710000000,CONVERSION
102354,11591,No,,,2011-10-20 10:38:47.710000000,CONVERSION
102356,10209,No,,,2011-10-20 10:38:47.710000000,CONVERSION
102358,8358,No,,,2011-10-20 10:38:47.710000000,CONVERSION
102360,11565,No,,,2011-10-20 10:38:47.710000000,CONVERSION
102362,8261,No,,,2011-10-20 10:38:47.710000000,CONVERSION
102364,10515,No,,,2011-10-20 10:38:47.710000000,CONVERSION
102366,10152,No,,,2011-10-20 10:38:47.710000000,CONVERSION
102368,6636,No,,,2011-10-20 10:38:47.710000000,CONVERSION
102370,10516,No,,,2011-10-20 10:38:47.710000000,CONVERSION
102372,7449,No,,,2011-10-20 10:38:47.710000000,CONVERSION
102374,8212,No,,,2011-10-20 10:38:47.710000000,CONVERSION
102376,8359,No,,,2011-10-20 10:38:47.710000000,CONVERSION
102378,11592,No,,,2011-10-20 10:38:47.710000000,CONVERSION
102380,9074,Yes,2009-03-25,Letter,2011-10-20 10:38:47.710000000,CONVERSION
102382,9424,Yes,2009-02-13,A combination of the above,2011-10-20 10:38:47.710000000,CONVERSION
102384,9075,Yes,2009-02-13,A combination of the above,2011-10-20 10:38:47.710000000,CONVERSION
102386,10517,Yes,2009-02-13,,2011-10-20 10:38:47.710000000,CONVERSION
102388,12648,No,,,2011-10-20 10:38:47.710000000,CONVERSION
102390,6637,No,,,2011-10-20 10:38:47.710000000,CONVERSION
102392,10406,No,,,2011-10-20 10:38:47.710000000,CONVERSION
102394,8860,No,,,2011-10-20 10:38:47.710000000,CONVERSION
102396,12078,Yes,2009-03-26,A combination of the above,2011-10-20 10:38:47.710000000,CONVERSION
102398,8262,No,,,2011-10-20 10:38:47.710000000,CONVERSION
102400,8263,No,,,2011-10-20 10:38:47.710000000,CONVERSION
102402,12079,No,,,2011-10-20 10:38:47.710000000,CONVERSION
102404,9543,No,,,2011-10-20 10:38:47.710000000,CONVERSION
102406,10210,No,,,2011-10-20 10:38:47.710000000,CONVERSION
102408,9544,No,,,2011-10-20 10:38:47.710000000,CONVERSION
102410,8553,No,,,2011-10-20 10:38:47.710000000,CONVERSION
102412,11952,No,,,2011-10-20 10:38:47.710000000,CONVERSION
102414,9076,No,,,2011-10-20 10:38:47.710000000,CONVERSION
102416,6638,No,,,2011-10-20 10:38:47.710000000,CONVERSION
102418,9425,No,,,2011-10-20 10:38:47.710000000,CONVERSION
102420,7450,No,,,2011-10-20 10:38:47.710000000,CONVERSION
102422,8861,No,,,2011-10-20 10:38:47.710000000,CONVERSION
102424,12649,No,,,2011-10-20 10:38:47.710000000,CONVERSION
102426,10153,Yes,2009-02-17,A combination of the above,2011-10-20 10:38:47.710000000,CONVERSION
102428,6639,No,,,2011-10-20 10:38:47.710000000,CONVERSION
102430,8554,No,,,2011-10-20 10:38:47.710000000,CONVERSION
102432,11953,No,,,2011-10-20 10:38:47.710000000,CONVERSION
102434,5379,No,,,2011-10-20 10:38:47.710000000,CONVERSION
102436,9077,No,,,2011-10-20 10:38:47.710000000,CONVERSION
102438,10211,No,,,2011-10-20 10:38:47.710000000,CONVERSION
102440,10518,Yes,2009-02-09,,2011-10-20 10:38:47.710000000,CONVERSION
102442,10212,No,,,2011-10-20 10:38:47.710000000,CONVERSION
102444,10213,No,,,2011-10-20 10:38:47.710000000,CONVERSION
102446,9426,Yes,2009-02-06,,2011-10-20 10:38:47.710000000,CONVERSION
102448,5380,No,,,2011-10-20 10:38:47.710000000,CONVERSION
102450,12756,No,,,2011-10-20 10:38:47.710000000,CONVERSION
102452,8862,No,,,2011-10-20 10:38:47.710000000,CONVERSION
102454,5381,Yes,2009-02-06,A combination of the above,2011-10-20 10:38:47.710000000,CONVERSION
102456,10214,Yes,,,2011-10-20 10:38:47.710000000,CONVERSION
102458,9545,Yes,2009-03-31,Letter,2011-10-20 10:38:47.710000000,CONVERSION
102460,9078,Yes,2009-03-31,Letter,2011-10-20 10:38:47.710000000,CONVERSION
102462,11954,Yes,2009-03-31,Letter,2011-10-20 10:38:47.710000000,CONVERSION
102464,10407,Yes,2009-03-31,Letter,2011-10-20 10:38:47.710000000,CONVERSION
102466,8360,Yes,,,2011-10-20 10:38:47.710000000,CONVERSION
102468,12080,Yes,,,2011-10-20 10:38:47.710000000,CONVERSION
102470,10154,No,,,2011-10-20 10:38:47.710000000,CONVERSION
102472,10155,Yes,2009-04-01,Letter,2011-10-20 10:38:47.710000000,CONVERSION
102474,5409,Yes,2009-04-01,Letter,2011-10-20 10:38:47.710000000,CONVERSION
102476,10156,Yes,2009-04-01,Letter,2011-10-20 10:38:47.710000000,CONVERSION
102478,6640,Yes,2009-04-03,Letter,2011-10-20 10:38:47.710000000,CONVERSION
102480,12081,Yes,2009-04-03,Letter,2011-10-20 10:38:47.710000000,CONVERSION
102482,12082,Yes,2009-04-03,Letter,2011-10-20 10:38:47.710000000,CONVERSION
102484,12083,No,,,2011-10-20 10:38:47.710000000,CONVERSION
102486,11593,Yes,2009-02-25,A combination of the above,2011-10-20 10:38:47.710000000,CONVERSION
102488,8264,No,,,2011-10-20 10:38:47.710000000,CONVERSION
102490,8361,No,,,2011-10-20 10:38:47.710000000,CONVERSION
102492,8362,No,,,2011-10-20 10:38:47.710000000,CONVERSION
102494,8363,No,,,2011-10-20 10:38:47.710000000,CONVERSION
102496,4821,No,,,2011-10-20 10:38:47.710000000,CONVERSION
102498,5382,No,,,2011-10-20 10:38:47.710000000,CONVERSION
102500,12650,Yes,2009-02-24,Phone,2011-10-20 10:38:47.710000000,CONVERSION
102502,7451,Yes,2009-04-03,Letter,2011-10-20 10:38:47.710000000,CONVERSION
102504,11320,Yes,2009-04-03,Letter,2011-10-20 10:38:47.710000000,CONVERSION
102506,9546,Yes,2009-04-03,Letter,2011-10-20 10:38:47.710000000,CONVERSION
102508,11566,Yes,2009-04-03,Letter,2011-10-20 10:38:47.710000000,CONVERSION
102510,11567,Yes,2009-04-02,Letter,2011-10-20 10:38:47.710000000,CONVERSION
102512,11594,Yes,2009-04-02,Letter,2011-10-20 10:38:47.710000000,CONVERSION
102514,10157,Yes,2009-04-02,Letter,2011-10-20 10:38:47.710000000,CONVERSION
102516,5410,Yes,2009-04-02,Letter,2011-10-20 10:38:47.710000000,CONVERSION
102518,5383,No,,,2011-10-20 10:38:47.710000000,CONVERSION
102520,8265,No,,,2011-10-20 10:38:47.710000000,CONVERSION
102522,10215,No,,,2011-10-20 10:38:47.710000000,CONVERSION
102524,8364,No,,,2011-10-20 10:38:47.710000000,CONVERSION
102526,6641,No,,,2011-10-20 10:38:47.710000000,CONVERSION
102528,8365,No,,,2011-10-20 10:38:47.710000000,CONVERSION
102530,10158,No,,,2011-10-20 10:38:47.710000000,CONVERSION
102532,9547,No,,,2011-10-20 10:38:47.710000000,CONVERSION
102534,7452,No,2009-02-27,A combination of the above,2011-10-20 10:38:47.710000000,CONVERSION
102536,12651,Yes,2009-04-06,Letter,2011-10-20 10:38:47.710000000,CONVERSION
102538,10159,Yes,2009-03-05,Phone,2011-10-20 10:38:47.710000000,CONVERSION
102540,9427,Yes,2009-04-08,Letter,2011-10-20 10:38:47.710000000,CONVERSION
102542,5411,Yes,2009-04-08,Letter,2011-10-20 10:38:47.710000000,CONVERSION
102544,11321,Yes,2009-04-08,Letter,2011-10-20 10:38:47.710000000,CONVERSION
102546,8863,Yes,2009-04-08,Letter,2011-10-20 10:38:47.710000000,CONVERSION
102548,11568,Yes,2009-04-08,Letter,2011-10-20 10:38:47.710000000,CONVERSION
102550,5384,Yes,2009-04-06,Letter,2011-10-20 10:38:47.710000000,CONVERSION
102552,8864,Yes,2009-04-17,A combination of the above,2011-10-20 10:38:47.710000000,CONVERSION
102554,5412,Yes,2009-04-03,Phone,2011-10-20 10:38:47.710000000,CONVERSION
102556,10519,Yes,2009-03-18,Phone,2011-10-20 10:38:47.710000000,CONVERSION
102558,9079,No,,,2011-10-20 10:38:47.710000000,CONVERSION
102560,8555,No,,,2011-10-20 10:38:47.710000000,CONVERSION
102562,9080,No,,,2011-10-20 10:38:47.710000000,CONVERSION
102564,6642,Yes,2009-03-16,A combination of the above,2011-10-20 10:38:47.710000000,CONVERSION
102566,10520,No,,,2011-10-20 10:38:47.710000000,CONVERSION
102568,11955,No,,,2011-10-20 10:38:47.710000000,CONVERSION
102570,10216,No,,,2011-10-20 10:38:47.710000000,CONVERSION
102572,11595,Yes,2009-03-10,A combination of the above,2011-10-20 10:38:47.710000000,CONVERSION
102574,9428,Yes,2009-03-10,A combination of the above,2011-10-20 10:38:47.710000000,CONVERSION
102576,12757,Yes,2009-03-10,A combination of the above,2011-10-20 10:38:47.710000000,CONVERSION
102578,11956,No,,,2011-10-20 10:38:47.710000000,CONVERSION
102580,9429,No,,,2011-10-20 10:38:47.710000000,CONVERSION
102582,6643,No,,,2011-10-20 10:38:47.710000000,CONVERSION
102584,11957,No,,,2011-10-20 10:38:47.710000000,CONVERSION
102586,11569,No,,,2011-10-20 10:38:47.710000000,CONVERSION
102588,5413,No,,,2011-10-20 10:38:47.710000000,CONVERSION
102590,11596,No,,,2011-10-20 10:38:47.710000000,CONVERSION
102592,7453,No,,,2011-10-20 10:38:47.710000000,CONVERSION
102594,10521,No,,,2011-10-20 10:38:47.710000000,CONVERSION
102596,9430,No,,,2011-10-20 10:38:47.710000000,CONVERSION
102598,10522,No,,,2011-10-20 10:38:47.710000000,CONVERSION
102600,11958,No,,,2011-10-20 10:38:47.710000000,CONVERSION
102602,6644,No,,,2011-10-20 10:38:47.710000000,CONVERSION
102604,10408,No,,,2011-10-20 10:38:47.710000000,CONVERSION
102606,10409,No,,,2011-10-20 10:38:47.710000000,CONVERSION
102608,8865,No,,,2011-10-20 10:38:47.710000000,CONVERSION
102610,10410,No,,,2011-10-20 10:38:47.710000000,CONVERSION
102612,10160,Yes,2009-04-17,Letter,2011-10-20 10:38:47.710000000,CONVERSION
102614,10161,No,,,2011-10-20 10:38:47.710000000,CONVERSION
102616,7454,Yes,2009-04-08,A combination of the above,2011-10-20 10:38:47.710000000,CONVERSION
102618,8556,No,,,2011-10-20 10:38:47.710000000,CONVERSION
102620,12652,Yes,2009-04-03,A combination of the above,2011-10-20 10:38:47.710000000,CONVERSION
102622,9548,No,,,2011-10-20 10:38:47.710000000,CONVERSION
102624,11322,No,,,2011-10-20 10:38:47.710000000,CONVERSION
102626,11570,No,,,2011-10-20 10:38:47.710000000,CONVERSION
102628,5414,No,,,2011-10-20 10:38:47.710000000,CONVERSION
102630,11323,No,,,2011-10-20 10:38:47.710000000,CONVERSION
102632,11571,Yes,2009-04-09,A combination of the above,2011-10-20 10:38:47.710000000,CONVERSION
102634,11597,No,,,2011-10-20 10:38:47.710000000,CONVERSION
102636,10523,No,,,2011-10-20 10:38:47.710000000,CONVERSION
102638,9081,Yes,2009-05-05,Letter,2011-10-20 10:38:47.710000000,CONVERSION
102640,9082,Yes,2009-04-30,Letter,2011-10-20 10:38:47.710000000,CONVERSION
102642,4822,Yes,2009-04-30,Letter,2011-10-20 10:38:47.710000000,CONVERSION
102644,7455,Yes,2009-04-30,Letter,2011-10-20 10:38:47.710000000,CONVERSION
102646,9549,Yes,2009-04-30,Letter,2011-10-20 10:38:47.710000000,CONVERSION
102648,10162,Yes,2009-04-29,Letter,2011-10-20 10:38:47.710000000,CONVERSION
