WQUAL_DETAILS_ID,WELL_TEST_ID,LAB_SAMPLE_NUMBER,LAB_NAME,LAB_LOCATION,RECEIVED_DATE,SAMPLING_LOCATION_DESC,WATER_SAMPLE_COMMENTS,CREATE_TIMESTAMP,CREATE_USERID
1064403,2,C09282,Maxxam Analytics,Calgary,2006-07-21,NW-1-42-25-4,,2011-10-20 10:38:47.710000000,CONVERSION
1064407,350,B88241,Maxxam Analytics,Calgary,2006-04-07,50m East of the house,,2011-10-20 10:38:47.710000000,CONVERSION
1064411,394,C13791,Maxxam Analytics,Calgary,2006-07-13,10m North of the house,,2011-10-20 10:38:47.710000000,CONVERSION
1064415,301,L419220,ALS Environmental,Calgary,2006-08-08,Out side Hydrant in yard,Pump pulling 6amps/casing is corroding large amount of corrosion particles are dropping into water well is 28yrs drilled in 1978 of Sept./ colour of water@beginning was very ark changed to a rusty tinge 15cm pipe casing/.5hp/,2011-10-20 10:38:47.710000000,CONVERSION
1064419,52,C26703,Maxxam Analytics,Calgary,2006-08-03,JOFFRE,,2011-10-20 10:38:47.710000000,CONVERSION
1064423,351,C30889,Maxxam Analytics,Calgary,2006-08-08,,,2011-10-20 10:38:47.710000000,CONVERSION
1064427,302,C34394,Maxxam Analytics,Calgary,2006-08-09,,,2011-10-20 10:38:47.710000000,CONVERSION
1064431,444,C19883,Maxxam Analytics,Calgary,2006-07-28,Off the tank tap,,2011-10-20 10:38:47.710000000,CONVERSION
1064435,594,C23602,Maxxam Analytics,Calgary,2006-01-08,"Off of the outside tap, under the deck on the east side of the house",,2011-10-20 10:38:47.710000000,CONVERSION
1064439,395,C28352,Maxxam Analytics,Calgary,2006-04-08,Off of the hydrant on the south side of the house,,2011-10-20 10:38:47.710000000,CONVERSION
1064443,3,C40727,Maxxam Analytics,Calgary,2006-08-16,off of the tap on the pressure tank,,2011-10-20 10:38:47.710000000,CONVERSION
1064447,2361,C36755,Maxxam Analytics,Calgary,2006-08-14,Tap on the south side of the house ~6m from the well,,2011-10-20 10:38:47.710000000,CONVERSION
1064451,303,C43673,Maxxam Analytics,Calgary,2006-08-19,12-29-42-22-4,"clear with green tint, organic odour, no sediment",2011-10-20 10:38:47.710000000,CONVERSION
1064455,2362,C43684,Maxxam Analytics,Calgary,2006-08-19,12-29-42-22-4,"clear with green tint, mild organic odour, initially rusty sand which cleared through test",2011-10-20 10:38:47.710000000,CONVERSION
1064459,985,C54950,Maxxam Analytics,Calgary,2006-08-26,PENHOLD,,2011-10-20 10:38:47.710000000,CONVERSION
1064463,352,C54233,Maxxam Analytics,Calgary,2006-08-24,,,2011-10-20 10:38:47.710000000,CONVERSION
1064467,53,C67558,Maxxam Analytics,Calgary,2006-08-25,16-24-39-25-W4M,,2011-10-20 10:38:47.710000000,CONVERSION
1064471,4,C67546,Maxxam Analytics,Calgary,2006-10-05,16-24-39-25-W4M,"Clear, no odour, no sediment, no gas",2011-10-20 10:38:47.710000000,CONVERSION
1064475,595,C54973,Maxxam Analytics,Calgary,2006-08-26,PENHOLD,,2011-10-20 10:38:47.710000000,CONVERSION
1064479,445,C62815,Maxxam Analytics,Calgary,2006-08-29,,,2011-10-20 10:38:47.710000000,CONVERSION
1064483,986,C62790,Maxxam Analytics,Calgary,2006-08-29,,,2011-10-20 10:38:47.710000000,CONVERSION
1064487,987,C61224,Maxxam Analytics,Calgary,2006-08-30,RED DEER COUNTY,,2011-10-20 10:38:47.710000000,CONVERSION
1064491,495,C68600,Maxxam Analytics,Calgary,2006-09-06,8-30-38-24-W4M,,2011-10-20 10:38:47.710000000,CONVERSION
1064495,200,C70500,Maxxam Analytics,Calgary,2006-09-06,6-4-40-26-W4M,,2011-10-20 10:38:47.710000000,CONVERSION
1064499,304,C63089,Maxxam Analytics,Calgary,2006-09-02,9-28-34-20-W4M,,2011-10-20 10:38:47.710000000,CONVERSION
1064503,54,490595-1,Bodycote Testing Group,Edmonton,2006-09-06,Well LSD:9-17-32-20 W4 J. Edwards House Well,,2011-10-20 10:38:47.710000000,CONVERSION
1064507,988,491406-1,Bodycote Testing Group,Edmonton,2006-09-08,2-6-29-25 W4 B. Piepke,,2011-10-20 10:38:47.710000000,CONVERSION
1064511,2261,C67601,Maxxam Analytics,Calgary,2006-09-06,SW-19-33-23-W4M,,2011-10-20 10:38:47.710000000,CONVERSION
1064515,644,C63115,Maxxam Analytics,Calgary,2006-06-01,,"Clear, no odour, grey sand sediment, no gas",2011-10-20 10:38:47.710000000,CONVERSION
1064519,5,C20795,Maxxam Analytics,Calgary,2006-07-27,,,2011-10-20 10:38:47.710000000,CONVERSION
1064523,2262,477767-1,Bodycote Testing Group,Edmonton,2006-07-12,9-29-36-20W4 T. Jarmin House Well,,2011-10-20 10:38:47.710000000,CONVERSION
1064527,693,485895-1,Bodycote Testing Group,Edmonton,2006-08-16,13-34-37-19 W4M - O.Bull House Well,,2011-10-20 10:38:47.710000000,CONVERSION
1064531,353,485902-1,Bodycote Testing Group,Edmonton,2006-08-17,01-24-38-20 W4 N.Shuckburgh House Well,,2011-10-20 10:38:47.710000000,CONVERSION
1064535,150,485901-1,Bodycote Testing Group,Edmonton,2006-08-16,04-24-38-20 W4M  J.Brus House Well,,2011-10-20 10:38:47.710000000,CONVERSION
1064539,2211,485888-1,Bodycote Testing Group,Edmonton,2006-08-17,16-34-37-19 W4M - J.Morrow House Well,,2011-10-20 10:38:47.710000000,CONVERSION
1064543,2363,485903-1,Bodycote Testing Group,Edmonton,2006-08-15,16-34-37-19 W4M - J.Bull Pasture Well,,2011-10-20 10:38:47.710000000,CONVERSION
1064547,6,484599-1,Bodycote Testing Group,Edmonton,2006-08-10,16-24-38-20 W4 D. Wesner House Well,,2011-10-20 10:38:47.710000000,CONVERSION
1064551,745,494920-1,Bodycote Testing Group,Edmonton,2006-09-21,Well LSD: 16-23-31-21 W4 S Collett House,,2011-10-20 10:38:47.710000000,CONVERSION
1064555,596,496268-4,Bodycote Testing Group,Edmonton,2006-09-27,12-10-29-26W4 R. Grabinski Windmill,,2011-10-20 10:38:47.710000000,CONVERSION
1064559,2212,494930-1,Bodycote Testing Group,Edmonton,2006-09-21,13-24-38-20 W4 D Wright House Well,,2011-10-20 10:38:47.710000000,CONVERSION
1064563,250,494932-1,Bodycote Testing Group,Edmonton,2006-09-22,3-18-38-18 W4 G Scheerschmidt West Well,,2011-10-20 10:38:47.710000000,CONVERSION
1064567,151,494922-1,Bodycote Testing Group,Edmonton,2006-09-20,16-16-38-19 W4 B Lomond House Well,,2011-10-20 10:38:47.710000000,CONVERSION
1064571,2364,496004-1,Bodycote Testing Group,Edmonton,2006-09-25,16-16-38-19W4 W. Renschler House Well,,2011-10-20 10:38:47.710000000,CONVERSION
1064575,7,494926-1,Bodycote Testing Group,Edmonton,2006-09-21,16-24-38-20 W4 R Unruh House Well,,2011-10-20 10:38:47.710000000,CONVERSION
1064579,2308,496002-1,Bodycote Testing Group,Edmonton,2006-09-26,16-18-38-18W4 P. Holton House Well,,2011-10-20 10:38:47.710000000,CONVERSION
1064583,2263,D35664,Maxxam Analytics,Calgary,2006-10-26,NW-4-35-27-W4M,"Clear, sulphur odour, no sediment, lots of gas present",2011-10-20 10:38:47.710000000,CONVERSION
1064599,890,490224-2,Norwest Labs,Calgary,2006-09-04,,,2011-10-20 10:38:47.710000000,CONVERSION
1064603,746,476250-1,Norwest Labs,Edmonton,2006-07-07,,,2011-10-20 10:38:47.710000000,CONVERSION
1064607,2365,476250-2,Norwest Labs,Edmonton,2006-07-07,,,2011-10-20 10:38:47.710000000,CONVERSION
1064611,747,483720-1,Norwest Labs,Edmonton,2006-08-08,,,2011-10-20 10:38:47.710000000,CONVERSION
1064619,251,501135-2,Bodycote Testing Group,Edmonton,2006-10-16,6-3-37-27W4 L.Klepper Old Well,,2011-10-20 10:38:47.710000000,CONVERSION
1064623,2366,501127-1,Bodycote Testing Group,Edmonton,2006-10-17,16-20-38-26W4 J.Bower House Well,,2011-10-20 10:38:47.710000000,CONVERSION
1064627,2264,501560-1,Bodycote Testing Group,Edmonton,2006-10-19,Well LSD: 8-2-32-24 W4 D Pryor House Well,,2011-10-20 10:38:47.710000000,CONVERSION
1064631,839,503328-1,Bodycote Testing Group,Edmonton,2006-10-25,6-3-37-27 W4 A.Quartly House Well,,2011-10-20 10:38:47.710000000,CONVERSION
1064635,694,504706-1,Bodycote Testing Group,Edmonton,2006-10-31,14-20-38-26W4 J. Tworek House Well,,2011-10-20 10:38:47.710000000,CONVERSION
1064639,354,504709-1,Bodycote Testing Group,Edmonton,2006-10-31,6-22-31-22W4 B. Milan House Well,,2011-10-20 10:38:47.710000000,CONVERSION
1064643,2310,504700-2,Bodycote Testing Group,Edmonton,2006-11-01,16-14-32-21W4 L. Burnett Stock Well,,2011-10-20 10:38:47.710000000,CONVERSION
1064647,355,504700-1,Bodycote Testing Group,Edmonton,2006-11-01,16-14-32-21W4 L. Burnett House Well,,2011-10-20 10:38:47.710000000,CONVERSION
1064651,496,D55048,Maxxam Analytics,Calgary,2006-11-08,SE-13-36-27-W4M,,2011-10-20 10:38:47.710000000,CONVERSION
1064655,748,499519-1,Bodycote Testing Group,Edmonton,2006-10-11,16-22-38-22 W4M N. Boesch,,2011-10-20 10:38:47.710000000,CONVERSION
1064659,396,499517-2,Bodycote Testing Group,Edmonton,2006-10-10,2-22-38-22 W4M A.Peterson,,2011-10-20 10:38:47.710000000,CONVERSION
1064663,645,506937-2,Bodycote Testing Group,Edmonton,2006-11-09,7-18-46-23 W4M R. Willy - Barn Well,,2011-10-20 10:38:47.710000000,CONVERSION
1064667,2367,506937-1,Bodycote Testing Group,Edmonton,2006-11-09,7-18-46-23 W4M R. Willy - House Well,,2011-10-20 10:38:47.710000000,CONVERSION
1064671,749,507389-1,Bodycote Testing Group,Edmonton,2006-11-13,Well LSD: 16-18-46-25 W4 G Zielke House Well,,2011-10-20 10:38:47.710000000,CONVERSION
1064675,397,507385-1,Bodycote Testing Group,Edmonton,2006-11-13,Well LSD: 6-20-46-25 W4 M Kane House Well,,2011-10-20 10:38:47.710000000,CONVERSION
1064679,891,507392-1,Bodycote Testing Group,Edmonton,2006-11-14,Well LSD: 6-11-46-26 W4 D Krause House Well,,2011-10-20 10:38:47.710000000,CONVERSION
1064683,892,507392-3,Bodycote Testing Group,Edmonton,2006-11-14,Well LSD: 6-11-46-26 W4 D Krause West Well,,2011-10-20 10:38:47.710000000,CONVERSION
1064687,100,507392-2,Bodycote Testing Group,Edmonton,2006-11-14,Well LSD: 6-11-46-26 W4 D Krause Barn Well,,2011-10-20 10:38:47.710000000,CONVERSION
1064691,356,D64873,Maxxam Analytics,Calgary,2006-11-17,NW-25-38-25 W4M,,2011-10-20 10:38:47.710000000,CONVERSION
1064695,55,509207-1,Bodycote Testing Group,Edmonton,2006-11-22,Well LSD:16-11-33-24 W4 E. Cunningham House Well,,2011-10-20 10:38:47.710000000,CONVERSION
1064699,2368,511016-1,Bodycote Testing Group,Edmonton,2006-11-30,Well LSD:16-11-33-24W4 T. Cunningham House Well,,2011-10-20 10:38:47.710000000,CONVERSION
1064703,252,510359-1,Bodycote Testing Group,Edmonton,2006-11-27,Well LSD:8-28-34-23W4 G. Wagstaff House Well,,2011-10-20 10:38:47.710000000,CONVERSION
1064707,792,D86457,Maxxam Analytics,Calgary,2006-12-05,SW-14-36-20 W4M,Tap at Pressure tank,2011-10-20 10:38:47.710000000,CONVERSION
1064711,793,D86377,Maxxam Analytics,Calgary,2006-12-06,8-26-38-27 W4M,At hydrant,2011-10-20 10:38:47.710000000,CONVERSION
1064715,597,508862-1,Bodycote Testing Group,Edmonton,2006-11-21,4-14-34-20W4 Gridley Pasture Well,,2011-10-20 10:38:47.710000000,CONVERSION
1064719,840,D96874,Maxxam Analytics,Calgary,2006-12-14,NW-06-35-27-W4M,Tap on N side of House,2011-10-20 10:38:47.710000000,CONVERSION
1064723,695,D96667,Maxxam Analytics,Calgary,2006-12-12,SE-07-45-26 W4M,,2011-10-20 10:38:47.710000000,CONVERSION
1064727,305,D95699,Maxxam Analytics,Calgary,2006-12-13,13-15-45-26-W4M,,2011-10-20 10:38:47.710000000,CONVERSION
1064731,696,D96895,Maxxam Analytics,Calgary,2006-12-15,NW-05-40-25-W4M,Tap at Pressure tank,2011-10-20 10:38:47.710000000,CONVERSION
1064735,446,511750-1,Bodycote Testing Group,Edmonton,2006-12-04,Well LSD: 6-36-35-20W4 D.Garstad House Well,,2011-10-20 10:38:47.710000000,CONVERSION
1064739,989,489979-2,Norwest Labs,Calgary,2006-09-01,,,2011-10-20 10:38:47.710000000,CONVERSION
1064743,546,489918-1,Norwest Labs,Calgary,2006-09-01,,,2011-10-20 10:38:47.710000000,CONVERSION
1064747,2213,L461298-1,ALS Environmental,Calgary,2006-12-08,Well LSD:5-24-27-27 W4M K.Heslop,,2011-10-20 10:38:47.710000000,CONVERSION
1064751,697,L433643-1,ALS Environmental,Calgary,2006-09-15,from tap at pressure tank,,2011-10-20 10:38:47.710000000,CONVERSION
1064755,253,L434685-2,ALS Environmental,Calgary,2006-09-19,"flowing spring at 5662621N, 335638E",,2011-10-20 10:38:47.710000000,CONVERSION
1064759,893,L433327-1,ALS Environmental,Calgary,2006-09-14,outdoor faucet on West side of house,,2011-10-20 10:38:47.710000000,CONVERSION
1064763,497,L430687-1,ALS Environmental,Calgary,2006-07-09,faucet on east side of shed,,2011-10-20 10:38:47.710000000,CONVERSION
1064767,56,L431652-2,ALS Environmental,Calgary,2006-11-09,at hydrant east of house,,2011-10-20 10:38:47.710000000,CONVERSION
1064771,306,L431652-1,ALS Environmental,Calgary,2006-11-09,hydrant in pump house,,2011-10-20 10:38:47.710000000,CONVERSION
1064775,398,L432814-1,ALS Environmental,Calgary,2006-09-19,faucet outside back door of house,water clear and colourless,2011-10-20 10:38:47.710000000,CONVERSION
1064779,2265,L434685-1,ALS Environmental,Calgary,2006-09-19,"flowing spring at 5662282N, 336325E",,2011-10-20 10:38:47.710000000,CONVERSION
1064783,547,L435849-2,ALS Environmental,Calgary,2006-09-21,hydrant in pumphouse,,2011-10-20 10:38:47.710000000,CONVERSION
1064787,598,L435849-1,ALS Environmental,Calgary,2006-09-21,hydrant in pump house W. of house,,2011-10-20 10:38:47.710000000,CONVERSION
1064791,101,L432808-1,ALS Environmental,Calgary,2006-09-13,faucet in back of house,,2011-10-20 10:38:47.710000000,CONVERSION
1064795,57,L434190-2,ALS Environmental,Calgary,2006-09-18,at hydrant in backyard,,2011-10-20 10:38:47.710000000,CONVERSION
1064799,399,L434190-1,ALS Environmental,Calgary,2006-09-27,at hydrant in front yard,,2011-10-20 10:38:47.710000000,CONVERSION
1064803,2311,L434693-1,ALS Environmental,Calgary,2006-09-19,hydrant by house,,2011-10-20 10:38:47.710000000,CONVERSION
1064807,102,L435309-1,ALS Environmental,Calgary,2006-09-20,from hydrant in yard,,2011-10-20 10:38:47.710000000,CONVERSION
1064811,58,L435308-1,ALS Environmental,Calgary,2006-09-20,hydrant,,2011-10-20 10:38:47.710000000,CONVERSION
1064815,698,L437901-1,ALS Environmental,Calgary,2006-09-27,faucet on N. side of house,,2011-10-20 10:38:47.710000000,CONVERSION
1064819,59,L439149-1,ALS Environmental,Calgary,2006-02-10,faucet W. side of house,,2011-10-20 10:38:47.710000000,CONVERSION
1064823,498,L440974-3,ALS Environmental,Calgary,2006-10-05,faucet on west side of house,,2011-10-20 10:38:47.710000000,CONVERSION
1064827,794,L441367-1,ALS Environmental,Calgary,2006-06-10,at hydrant in yard south of house,,2011-10-20 10:38:47.710000000,CONVERSION
1064831,599,L440974-2,ALS Environmental,Calgary,2006-06-10,hydrant in yard S of house,Water samples were taken 30 min into test as the well was old water level could not be measured,2011-10-20 10:38:47.710000000,CONVERSION
1064835,894,,ALS Environmental,Calgary,,,,2011-10-20 10:38:47.710000000,CONVERSION
1064839,400,L446635-1,ALS Environmental,Calgary,2006-10-23,end of discharge hose attached to hydrant east of barn,,2011-10-20 10:38:47.710000000,CONVERSION
1064843,357,L445235-1,ALS Environmental,Calgary,2006-10-18,end of discharge hose attached to tank tee valve,,2011-10-20 10:38:47.710000000,CONVERSION
1064847,795,L448146-1,ALS Environmental,Calgary,2006-10-26,end of discharge hose off hydrant next ot well,,2011-10-20 10:38:47.710000000,CONVERSION
1064851,201,L446139-1,ALS Environmental,Calgary,2006-10-20,end of discharge hose attached to pressure tank tee valve,,2011-10-20 10:38:47.710000000,CONVERSION
1064855,103,L445699-2,ALS Environmental,Calgary,2006-10-19,end of discharge hose attached to hydrant near well,,2011-10-20 10:38:47.710000000,CONVERSION
1064859,841,L444685-1,ALS Environmental,Calgary,2006-10-17,from faucet on back of house,,2011-10-20 10:38:47.710000000,CONVERSION
1064863,358,L446139-2,ALS Environmental,Calgary,2006-10-20,end of discharge hose attached to pressure tank tee valve,,2011-10-20 10:38:47.710000000,CONVERSION
1064867,750,L455195-1,ALS Environmental,Calgary,2006-10-18,faucet on S. side of house,,2011-10-20 10:38:47.710000000,CONVERSION
1064871,499,L445708-3,ALS Environmental,Calgary,2006-10-19,Direct from portable submersible pump,,2011-10-20 10:38:47.710000000,CONVERSION
1064875,600,L447181-1,ALS Environmental,Calgary,2006-10-24,faucet on east side of house,,2011-10-20 10:38:47.710000000,CONVERSION
1064879,307,L446168-1,ALS Environmental,Calgary,2006-10-20,faucet on SE corner of house,,2011-10-20 10:38:47.710000000,CONVERSION
1064883,699,L446634-1,ALS Environmental,Calgary,2006-10-23,Outdoor Facuet on front of house,,2011-10-20 10:38:47.710000000,CONVERSION
1064887,152,L447180-1,ALS Environmental,Calgary,2006-10-24,end of discharge hose connected to pressure tank tee,,2011-10-20 10:38:47.710000000,CONVERSION
1064891,751,L446615-2,ALS Environmental,Calgary,2006-10-23,faucet on outside of house,,2011-10-20 10:38:47.710000000,CONVERSION
1064895,359,L447525-1,ALS Environmental,Calgary,2006-10-25,faucet on west side of house,,2011-10-20 10:38:47.710000000,CONVERSION
1064899,60,L450386-1,ALS Environmental,Calgary,2006-02-11,faucet on west side of house,,2011-10-20 10:38:47.710000000,CONVERSION
1064903,104,L447182-1,ALS Environmental,Calgary,2006-10-24,Pressure Tank tee in basement,,2011-10-20 10:38:47.710000000,CONVERSION
1064907,61,L447750-1,ALS Environmental,Calgary,2006-10-25,hydrant next to well,,2011-10-20 10:38:47.710000000,CONVERSION
1064911,360,L450437-2,ALS Environmental,Calgary,2006-02-11,at culvert under road between house and barns,water sampled as runoff from culvert,2011-10-20 10:38:47.710000000,CONVERSION
1064915,2266,L450011-2,ALS Environmental,Calgary,2006-01-11,end of discharge hose attached to pressure tank tee in well pit,,2011-10-20 10:38:47.710000000,CONVERSION
1064919,2312,L450120-1,ALS Environmental,Calgary,2006-01-11,barn faucet,,2011-10-20 10:38:47.710000000,CONVERSION
1064923,401,L450011-1,ALS Environmental,Calgary,2006-01-11,end of discharge hose attached to hydrant near well,,2011-10-20 10:38:47.710000000,CONVERSION
1064927,2369,L450437-1,ALS Environmental,Calgary,2006-02-11,kitchen tap in basement of house,,2011-10-20 10:38:47.710000000,CONVERSION
1064931,796,L451231-1,ALS Environmental,Calgary,2006-11-06,end of discharge hose attached to tank tee,,2011-10-20 10:38:47.710000000,CONVERSION
1064935,361,L448584-1,ALS Environmental,Calgary,2006-10-27,kitchen tap,,2011-10-20 10:38:47.710000000,CONVERSION
1064939,797,L450120-2,ALS Environmental,Calgary,2006-01-11,cattle waterer,,2011-10-20 10:38:47.710000000,CONVERSION
1064943,842,L448587-1,ALS Environmental,Calgary,2006-10-27,faucet on East side of house,,2011-10-20 10:38:47.710000000,CONVERSION
1064947,2313,L444667-1,ALS Environmental,Calgary,2006-10-17,from T on pressure tank in pumphouse,,2011-10-20 10:38:47.710000000,CONVERSION
1064951,308,L448052-1,ALS Environmental,Calgary,2006-10-26,2  diameter hose in yard next to pumphouse,,2011-10-20 10:38:47.710000000,CONVERSION
1064955,895,L449333-1,ALS Environmental,Calgary,,tap in colony house - 2nd house from the W across from the slaughterhouse,,2011-10-20 10:38:47.710000000,CONVERSION
1064959,202,L448985-1,ALS Environmental,Calgary,2006-10-30,faucet in pig barn,,2011-10-20 10:38:47.710000000,CONVERSION
1064963,62,L448981-2,ALS Environmental,Calgary,2006-10-30,end of discharge hose attached to tap in shop,,2011-10-20 10:38:47.710000000,CONVERSION
1064967,2214,L448985-2,ALS Environmental,Calgary,2006-10-30,Directly from well,,2011-10-20 10:38:47.710000000,CONVERSION
1064971,2267,,ALS Environmental,Calgary,2006-10-31,,,2011-10-20 10:38:47.710000000,CONVERSION
1064975,990,L450757-2,ALS Environmental,Calgary,2006-03-11,T-joint on pressure tank in barn,,2011-10-20 10:38:47.710000000,CONVERSION
1064979,8,L450757-1,ALS Environmental,Calgary,2006-03-11,T-joint on pressure tank,,2011-10-20 10:38:47.710000000,CONVERSION
1064983,105,L450793-1,ALS Environmental,Calgary,2006-11-03,end of discharge hose attached to hydrant near well,,2011-10-20 10:38:47.710000000,CONVERSION
1064987,254,,ALS Environmental,Calgary,2006-03-11,,,2011-10-20 10:38:47.710000000,CONVERSION
1064991,700,L452303-2,ALS Environmental,Calgary,2006-08-11,end of discharge hose attached to pump,,2011-10-20 10:38:47.710000000,CONVERSION
1064995,843,L450793-2,ALS Environmental,Calgary,2006-11-03,end of discharge hose attached to hydrant near well/trough,,2011-10-20 10:38:47.710000000,CONVERSION
1064999,255,L451218-1,ALS Environmental,Calgary,2006-06-11,tap in basement of old house,,2011-10-20 10:38:47.710000000,CONVERSION
1065003,362,L451755-2,ALS Environmental,Calgary,2006-07-11,T-joint on pressure tank,,2011-10-20 10:38:47.710000000,CONVERSION
1065007,752,L451755-1,ALS Environmental,Calgary,2006-07-11,faucet in basement,,2011-10-20 10:38:47.710000000,CONVERSION
1065011,363,L460006-1,ALS Environmental,Calgary,2006-05-12,T-valve on pressure tank,,2011-10-20 10:38:47.710000000,CONVERSION
1065015,2370,L463456-1,ALS Environmental,Calgary,2006-12-15,end of discharge hose attached to pressure tank tee valve,,2011-10-20 10:38:47.710000000,CONVERSION
1065019,500,L432249-1,ALS Environmental,Calgary,2006-12-09,from faucet on back of house,smelled/tasted of sulphur,2011-10-20 10:38:47.710000000,CONVERSION
1065023,153,L432249-2,ALS Environmental,Calgary,2006-12-09,from faucet at well head in pump house,,2011-10-20 10:38:47.710000000,CONVERSION
1065027,402,514161-1,Bodycote Testing Group,Edmonton,2006-12-14,Well LSD: 16-32-31-20 W4 N Avramenko House Well,,2011-10-20 10:38:47.710000000,CONVERSION
1065031,753,108735-3,KaizenLAB,Calgary,2006-12-20,NE-06-045-26-W4M,,2011-10-20 10:38:47.710000000,CONVERSION
1065035,844,E03642,Maxxam Analytics,Calgary,2006-12-20,SE-10-35-26 W4M,,2011-10-20 10:38:47.710000000,CONVERSION
1065039,601,L455186-1,ALS Environmental,Calgary,2006-11-17,end of discharge hose attached to sediment valve on E side of house,,2011-10-20 10:38:47.710000000,CONVERSION
1065043,63,L454819-2,ALS Environmental,Calgary,2006-11-16,Faucet on north side of the house containing the wel pit,,2011-10-20 10:38:47.710000000,CONVERSION
