FIELD_NOTES_ID,WELL_TEST_ID,COMMENT_CATEGORY,ODOUR_CAT,FIELD_NOTE_COMMENTS,CREATE_TIMESTAMP,CREATE_USERID,H2S_TESTED,MODEL_PREDICTION
1058235,8531,Landowner,,"Well was drilled, used for domestic/stock purposes, pitless, 150mm well diameter, submersible pump/pressure tank system cannot be bypassed, no water treatment system, well has never been chlorinated, slight sulphur smell, no gas, water quality test in 2005 by Norwest, well has been in consistent use and pumped daily, no fuel stored on site, septic field located 40m East of house.",38:47.7,CONVERSION,0,1
1058239,9270,Landowner,3,Landowner indicated fair sulphur odour with good colour and rust sediment. Brown rust staining caused by water. Historical water analyses in July 2006 by Health Unit due to E. Coli in water.,38:47.7,CONVERSION,0,1
1058247,1450,Landowner,3,The water has a sulfur odour to it sometimes.,38:47.7,CONVERSION,0,1
1058261,7554,Landowner,,"Well used for domestic/stock purposes, well completed with a pitless adapter, 152mm well diameter, submersible pump /pressure tank system cannot be bypassed, no water treatment system, well chlorinated by owner in November 2005, slight sulphur smell, no gas present, water quality and pumping test completed when drilled, well has been in consistent use and pumped daily, no fuel stored on site, septic field located 75m East-Southeast of well.",38:47.7,CONVERSION,0,1
1058265,9269,Landowner,3,One other domestic well to the east. Landowner indicated fair taste and odour with good colour to water. Rust staining caused by water.,38:47.7,CONVERSION,0,1
1058269,5712,Landowner,2,"Drilled well used for domestic purposes, well completed with a pitless adapter, submersible pump/pressure tank system, iron and softener water treatment systems, landowner indicated good water quality odour and colour and fair for taste (metallic) and sediment, brown iron staining in the bathtub/sinks/laundry tub/toilet reservoir, landowner did not recognize the presence of gas, well used consistently and pumped daily, supply meets requirements, no fuel stored on site, no septic field on site.",38:47.7,CONVERSION,1,0
1058271,3698,Landowner,3,Landowner indicated good tasting water but usually not drank. Fair odour; smells worse than before. Fair color; slightly grayish color. Fair sediment; fine black sand. Landowner did not recognize the presence of gas; was not there in previous well tests.,38:47.7,CONVERSION,0,1
1058273,5083,Landowner,3,Drilled well completed with a pitless adaptor and a 1/2 HP Grundfos Jet 506 submersible pump. No water treatment system.  Landowner indicated good water quality with poor odour. Rust color and build up in house.,38:47.7,CONVERSION,1,1
1058277,8732,Landowner,2,"One other spring 40 m south of well. Landowner indicated fair, strong sodium taste with good odour and colour. Historical water analyses in 2006 by San-Dee Water Well Evaluation because of Trident gas well in area.",38:47.7,CONVERSION,1,0
1058279,6772,Landowner,3,"Landowner indicated fair taste and odour, good color and no sediment; slight coal sediment before filter system installed. Iron staining in house.  Drilled well completed with a pitless adaptor and a 3/4 HP Gould submersible pump with intake at 44.2 m. Filtration water treatment system.",38:47.7,CONVERSION,0,1
1058285,3409,Landowner,3,Landowner indicated poor water taste and sulfur odour. Yellow staining in house.,38:47.7,CONVERSION,1,1
1058293,6773,Landowner,3,"Landowner indicated poor water quality. Sulfur odour and taste, black color and black sediment.",38:47.7,CONVERSION,1,1
1058295,8527,Landowner,3,Landowner indicated good water quality with slight sulfur odour. H2S gas from well since drilled.,38:47.7,CONVERSION,1,1
1058307,3772,Landowner,,Original landowner Jim Guilbault. Landowner indicated good taste and colour with fair (sometimes sulphur) taste. Historical water analyses in 2000 by Health Unit because of new child.,38:47.7,CONVERSION,0,1
1058309,3474,Landowner,3,"Previous landowner, William Zuidhof. Other wells on property to the east and south. Landowner indicated good taste and colour with slight odour to water. Historical pump test and water analyses in August 2006 by local health unit.",38:47.7,CONVERSION,0,1
1058311,3376,Landowner,2,"Well is used as a back up well because of low yield. Previous landowner, Richard Petersons. Two other active wells and one inactive well on property. Landowner indicated good taste and odour with fair cloudy colour and lots of sediment. Historical analyses completed on well.",38:47.7,CONVERSION,1,0
1058323,3646,Landowner,3,One other inactive well on property. Landowner indicated good taste and colour with fair odour to water. Methane gas present in well since it was drilled. Historical water analyses in 1994 by landowner for water quality.,38:47.7,CONVERSION,1,1
1058337,6775,Landowner,2,"Well drilled to 73.15 m then filled in to 36.58 m. Four other wells on property, 2 active and 2 inactive.  Landowner indicated good odour with rusty colour,  and rust sediment. Rust staining caused by water.",38:47.7,CONVERSION,0,0
1058339,3414,Landowner,2,"Four other wells on property, 2 active, and 2 inactive. Landowner indicated good odour with poor rust colour and rust sediment in water. Rust staining caused by water.",38:47.7,CONVERSION,0,0
1058357,3774,Landowner,,"Well used for domestic/stock purposes, well completed in a pit, submersible pump /pressure tank system, iron, sulphur and magnesium water treatment systems, well was chlorinated in September 2005.",38:47.7,CONVERSION,1,1
1058373,135,Landowner,3,Taste: fiar; Odour: fair (sometimes a funny smell); Colour:good; Sediment: good; Gas: fair,38:47.7,CONVERSION,0,1
1058377,7336,Landowner,0,"Is the water supply currently enough for your present requirements?   Yes  ü     No _____ 

Taste:    Good  ü  Fair ___ Poor ___  Comments ______________________________________________
Odour:   Good  ü   Fair ___ Poor ___  Comments ______________________________________________
Colour:  Good   ü  Fair ___  Poor ___   Comments ______________________________________________
Sediment: Good  ü  Fair ___ Poor___    Comments _____________________________________________
Gas Observed in Water:  Yes ___   No   ü",38:47.7,CONVERSION,0,0
1058381,3693,Landowner,3,"Well used for domestic purposes, well completed with a pitless adapter, submersible pump/pressure tank system, no water treatment system, landowner indicated fair water quality with metallic odour and yellow colour, no sediment present, staining in bathtub/sinks/laundry tub/toilet, landowner did not recognize the presence of trace gas, water quality test completed in 2003, well pumped daily when used, supply meets present needs. no fuel stored on site, septic field located 200m west of well.",38:47.7,CONVERSION,0,1
1058389,2301,Landowner,2,"The water is used for washing, drinking and cooking by 2 people (renters). Four people left 1.5 months ago, and the 2 people living there now are expected to move out and other renters moving in within the next 5 years.  There is no water softener on the system. The septic tank has never been pumped out and the system has never been shock chlorinated. The landowner rated the water as good for taste, odour, colour, sediment and gas. A white buildup in the toilet had been noticed.",38:47.7,CONVERSION,0,0
1058391,493,Landowner,2,"Water use had decreased in the past 5 years because the landowner got out of cattle 3 years ago. The well is used by 3 people, 2 horses and 1 donkey.  The landowner rated the water as good for taste, odour, colour, sediment and gas.",38:47.7,CONVERSION,0,0
1058393,585,Landowner,,Well has sulphur in it when not used at different times of the year.,38:47.7,CONVERSION,0,1
1058395,1861,Landowner,2,"There was a softener and Reverse Osmosis unit on the system, as well as a paper filter and a carbon filter. The water had been shock chlorinated a long time ago. The landowner rated the water as good for odour, colour, sediment and gas. The taste was rated as poor without the reverse osmosis system.",38:47.7,CONVERSION,0,0
1058397,1192,Landowner,3,"Four people use the well. They don't drink it very much. The landowner rated the well as good for gas, poor for taste and fair for odour, colour and sediment. Complaints included a metallic taste and smell, a periodic orange colour and a little bit of sediment. A new septic tank was installed in 2001",38:47.7,CONVERSION,0,1
1058399,4166,Landowner,0,"Is the water supply currently enough for your present requirements?   Yes  ü     No _____ 

Taste:    Good   ü   Fair       Poor ___  Comments ______________________________________________
Odour:   Good   ü   Fair ___  Poor ___ Comments  ______________________________________________
Colour:  Good    ü   Fair ___  Poor ___   Comments______________________________________________
Sediment: Good ___ Fair  ü  Poor___  Comments _____________________________________________
Gas Observed in Water:  Yes ___   No    ü",38:47.7,CONVERSION,0,0
1058413,1680,Landowner,2,"The wter was used for 5 people and, on a seasonal basis, 200 head of cattle. The landowner noted the water was hard with white scaling appearing in the bathtub/sink/laundry basin/toilet.The landowner rated the water as good for taste, odour and gas, but as fair for colour and sediment.",38:47.7,CONVERSION,0,0
1058425,1933,Landowner,2,"Taste, odour, colour and gas are commented being good, some sediment.",38:47.7,CONVERSION,0,0
1058433,1353,Landowner,3,"Taste (good), odour (fair, sulphur odour), Colour (good, clear), sediment (good), Gas (good)",38:47.7,CONVERSION,0,1
1058447,181,Landowner,3,Water is soft and has a sulfur odour.,38:47.7,CONVERSION,0,1
1058459,2400,Landowner,0,"Is the water supply currently enough for your present requirements?   Yes  ü     No _____ 
TASTE:         Good   ü    Fair     Poor ___ Comments:   _________________________________________
ODOUR:       Good   ü  Fair ___    Poor ___ Comments:__________________________________________
COLOUR:     Good   ü    Fair       Poor ___ Comments:  _________________________________________
SEDIMENT:  Good   ü     Fair      Poor ___ Comments:  __________________________________________
GAS OBSERVED IN WATER:   Yes  ___  No  ü",38:47.7,CONVERSION,0,0
1058461,440,Landowner,3,"taste - good.  odour - fair, rotten egg, comes and goes, slight odour.  colour - fair.  sediment - poor, rusty sediment.  gas - poor, aware gas is present.  Spurting in taps from gas, M&M able to light hot water on fire during test.",38:47.7,CONVERSION,0,1
1058463,342,Landowner,2,"taste - fair, unknown.  odour, colour, sediment, gas - good.  Well only used for stock so limited knowledge of water quality",38:47.7,CONVERSION,0,0
1058465,782,Landowner,2,"Taste, odour: good.  Colour, sediment: fair.  Gas: poor.",38:47.7,CONVERSION,0,1
1058467,133,Landowner,3,"taste - n/a.  odour: poor.  Colour, sediment, gas: good.",38:47.7,CONVERSION,0,1
1058469,875,Landowner,3,"taste, odour: good - sulphur.  Colour, gas: good. sediment: fair, coal sediment.",38:47.7,CONVERSION,0,1
1058471,576,Landowner,2,"taste, odour, colour, gas, sediment: good.  high Na",38:47.7,CONVERSION,0,0
1058473,927,Landowner,2,"taste, odour, colour, sediment: good.  Gas: good to fair.",38:47.7,CONVERSION,0,0
1058475,2402,Landowner,2,"Taste: n/a.  Odour, colour, sediment, gas: good.",38:47.7,CONVERSION,0,0
1058477,2403,Landowner,2,"taste, odour, colour, sediment, gas : good.",38:47.7,CONVERSION,0,0
1058479,185,Landowner,3,"taste, odour: poor.  Colour: fair.  Sediment, gas: Good.",38:47.7,CONVERSION,0,1
1058481,629,Landowner,3,"Taste: good, odour: good (sometimes odour with hot water), color: good, sedimentation: good, gas: good",38:47.7,CONVERSION,0,1
1058483,284,Landowner,3,Taste: fair; Odour: sulfur odour; Colour: good; Sediment: good; Gas: good (no gas),38:47.7,CONVERSION,0,1
1058487,1571,Landowner,3,Colour and sediment previously and currently rated as good and Gas: fair. Taste and odour were poor due to taste like rotten eggs and smells like methane.,38:47.7,CONVERSION,0,1
1058489,1240,Landowner,2,"odour good, colour poor (murky, it was good), sediment poor (murky, it was good), gas good.",38:47.7,CONVERSION,0,0
1058491,4210,Landowner,2,"odour, sediment and gas good. colour fair.",38:47.7,CONVERSION,0,0
1058493,590,Landowner,2,"taste, odour, colour, gas all good. a little sediment",38:47.7,CONVERSION,0,0
1058495,591,Landowner,2,"tast fir, odour good, colour good, sediment fair, gas good.",38:47.7,CONVERSION,0,0
1058497,6220,Landowner,3,"poor taste, fair odour, good colour, fair sediment, good gas.",38:47.7,CONVERSION,0,1
1058499,1339,Landowner,2,"tast, colour, odour, gas and sediment all good",38:47.7,CONVERSION,0,0
1058501,1824,Landowner,3,"Taste: fair, Odour: poor (rotten egg smell), Color: poor (yellowish brown), Sediment: good. Gas: good",38:47.7,CONVERSION,0,1
1058503,592,Landowner,3,"taste-poor, odour-poor, colour-fiar, sediment-fair, gas-good.",38:47.7,CONVERSION,0,1
1058505,1472,Landowner,2,"Taste: N/A, Odour: good, Color: good, Sediment (sediment present): fair, Gas: good",38:47.7,CONVERSION,0,0
1058507,1777,Landowner,2,"taste, odour, colour, sediment, gas all good",38:47.7,CONVERSION,0,0
1058509,1241,Landowner,3,"Taste: good 
Odour: fair 
Colour: good 
Sediment: good 
Gas: good",38:47.7,CONVERSION,0,1
1058511,4211,Landowner,3,"Taste: good 
Odour: fair 
Colour: good 
Gas: good",38:47.7,CONVERSION,0,1
1058515,1825,Landowner,2,"odour, colour, gas all good. sediment fair(high soda)",38:47.7,CONVERSION,0,0
1058537,6293,Landowner,0,"Is the water supply currently enough for your present requirements?   Yes  ü     No _____ 

Taste:   Good         Fair  ü    Poor      Comments ______________________________________________ 
Odour:  Good         Fair  ü     Poor ___  Comments Owner has noticed some odour in the last six months.     
Colour:  Good  ü   Fair ___ Poor ___  Comments ______________________________________________
Sediment: Good      Fair        Poor  ü  Comments A decrease in water quality noted in past five years; also showing more sediment. 
Gas Observed in Water:  Yes ___  No  ü",38:47.7,CONVERSION,0,0
1058539,1750,Landowner,0,"Is the water supply currently enough for your present requirements?   Yes  ü     No _____ 

Taste:   Good       Fair  ü   Poor ___  Comments ______________________________________________
Odour:  Good ___  Fair  ü    Poor ___  Comments  Sometimes there is an H2S smell in water.                 
Colour:  Good  ü    Fair ___ Poor ___   Comments ______________________________________________
Sediment: Good     Fair  ü   Poor ___   Comments   Sometimes owner can see sediment in the water.      
Gas Observed in Water:  Yes ___  No  ü",38:47.7,CONVERSION,0,0
1058541,4238,Landowner,0,"Is the water supply currently enough for your present requirements?   Yes  ü     No _____ 

Taste:   Good         Fair ___ Poor  ü   Comments ______________________________________________ 
Odour:  Good         Fair ___ Poor  ü   Comments    H2S smell in water.                                                               
Colour:  Good        Fair ___ Poor  ü   Comments    Yellow looking                                                                   
Sediment: Good      Fair  ü   Poor ___Comments   ______________________________________________
Gas Observed in Water:  Yes ___  No  ü",38:47.7,CONVERSION,0,0
1058543,1166,Landowner,0,"Is the water supply currently enough for your present requirements?   Yes  ü     No _____ 

Taste:   Good   ü  Fair ___  Poor ___  Comments ____________________________________________
Odour:  Good   ü   Fair ___  Poor ___ Comments ____________________________________________
Colour:  Good  ü   Fair ___ Poor ___  Comments ____________________________________________
Sediment: Good   ü  Fair ___ Poor ___ Comments ____________________________________________
Gas Observed in Water:  Yes   ü   No ___",38:47.7,CONVERSION,0,0
1058577,297,Landowner,3,The landowner only uses the water for washing and cooking.  Two houses use the water and other house occupants drink the water. Larry noted that the water does have an odour in the springtime.  He also stated that there are tiny bubbles in water in a glass when filled up but clears up and not as bad when the well water is used more often.  Sometimes Larry observes vapour in the water.,38:47.7,CONVERSION,0,1
1058579,1668,Landowner,3,"The landowner/resident does not use the water for drinking. The sulphur odour is always present but is stronger when hot water is being used.  The landowner rated the water as good for colour and gas, but only as fair for sediment.",38:47.7,CONVERSION,0,1
1058581,2249,Landowner,,Hot water has an odor.,38:47.7,CONVERSION,0,1
1058587,1817,Landowner,2,"taste, colour, odour, sediment and gas all good",38:47.7,CONVERSION,0,0
1058589,2302,Landowner,3,"odour: fair. 
colour: poor.  
Sediment, gas: good.",38:47.7,CONVERSION,0,1
1058591,1193,Landowner,3,"Taste: N/A due to high sodiu, so landowners do not drink. Odour: fair due to bit of an odour. Colour: good, sediment: poor, very little amount and gas: good, no gas.",38:47.7,CONVERSION,0,1
1058595,1669,Landowner,0,"Is the water supply currently enough for your present requirements?   Yes  ü     No _____ 
Taste:   Good ___  Fair ___  Poor   ü      Comments  _______________________________________                                                                            
Odour:  Good ___  Fair ___  Poor   ü      Comments   Rotten egg smell                                           
Colour: Good ___   Fair   ü   Poor ___     Comments ________________________________________
Sediment: Good ___ Fair ___ Poor   ü       Comments  Lots of sediment                                         
 Gas Observed In Water:  Yes ___     No  ü 

Black rust colour staining in tub/toilet reservoirs.",38:47.7,CONVERSION,0,0
1058599,1920,Landowner,0,"Is the water supply currently enough for your present requirements?   Yes  ü     No _____ 

Taste:   Good ___ Fair ___  Poor   ü   Comments   high sodium                                                         
Odour:  Good ___ Fair   ü   Poor ___ Comments   slight H2S/musty odour in water sometimes             
Colour:  Good ___ Fair   ü  Poor ___  Comments ____________________________________________
Sediment: Good   ü  Fair ___ Poor ___ Comments ____________________________________________",38:47.7,CONVERSION,0,1
1058603,1229,Landowner,0,"Is the water supply currently enough for your present requirements?   Yes  ü     No _____ 

Taste:   Good ___  Fair  ü  Poor ___Comments   ______________________________________________
Odour:  Good ___  Fair  ü  Poor ___Comments   ______________________________________________ 
Colour:  Good ___  Fair  ü  Poor ___Comments  _______________________________________________
Sediment: Good ___ Fair  ü  Poor ___Comments  ______________________________________________

Gas Observed in Water:  Yes ___ No  ü",38:47.7,CONVERSION,0,0
1058605,586,Landowner,2,"Taste(good), Odour(good), Colour(good), Sediment(good), Gas(good, used to be very gassy)",38:47.7,CONVERSION,0,0
1058607,1230,Landowner,3,"Taste(fair), odour(fair), Colour(fair), Sediment(fair), gas(fair)",38:47.7,CONVERSION,0,1
1058609,1921,Landowner,2,"Taste(does not drink the water), Odour(good), Colour(good), Sediment(good, a little sediment), gas(good)",38:47.7,CONVERSION,0,0
1058611,641,Landowner,2,"Taste(N/A, water not used for drinking), Odour(good), Colour(good), Sediment(good), gas(good)",38:47.7,CONVERSION,0,0
1058615,642,Landowner,2,"Taste(good), odour(good), Colour(good), sediment(good), gas(good) 
Last Fall - Well cloudy after heavy rains",38:47.7,CONVERSION,0,0
1058617,1534,Landowner,2,"Taste(Fair, salty), Odour(good), Colour(good), Sediment(good), Gas(good)",38:47.7,CONVERSION,0,0
1058619,4207,Landowner,2,"Taste(fair, salty), Odour(good), Colour(good), sediment(good), gas(good)",38:47.7,CONVERSION,0,0
1058621,587,Landowner,2,"Taste(N/A - do not drink), Odour (good, but was poor, rotten egg smell that improved with well use), Colour(good), Sediment(good), gas(good)",38:47.7,CONVERSION,0,1
1058623,1535,Landowner,2,"Taste(do not drink the water), Odour(good, but used to be poor, rotten egg smell), colour(good), sediment(good), gas(good)",38:47.7,CONVERSION,0,1
1058625,1819,Landowner,2,"Taste(good),Odour(good),Colour(good),Sediment(fair-black sediment),Gas(good) Sediment builds-up on screens @taps, domestic well complaints/water well issues in the area Yes box checked off note, Low yields & high sodium. [didn't state for where].",38:47.7,CONVERSION,0,0
1058627,1630,Landowner,2,"Taste(good), odour(good), colour(good), sediment(good), gas(good)",38:47.7,CONVERSION,0,0
1058629,39,Landowner,3,"Taste(poor), odour(poor), colour(good), sediment(fair, silty when you first run it), gas(good)",38:47.7,CONVERSION,0,1
1058631,1864,Landowner,2,"Taste(good), odour(good), colour(good), sediment(good), gas(good)",38:47.7,CONVERSION,0,0
1058635,2251,Landowner,2,"Taste, odour, colour, sediment and gas were all commented as good. Believes high sodium in water.",38:47.7,CONVERSION,0,0
1058637,1922,Landowner,2,"Taste, odour, colour, sediment and gas commented previously and currently good. However there is coalish sediments but non after passing through filter. Landowner commented that pump not strong enough to complete pump test.",38:47.7,CONVERSION,0,0
1058639,1865,Landowner,2,"Taste, odour, colour, sediment and gas were previously and currently commented as good but taste does need water treatment.",38:47.7,CONVERSION,0,0
1058641,196,Landowner,2,"Odour, colour, sediment and gas were previously and currently commented as being good. Taste was not commented on because the water is not for drinking purposes.",38:47.7,CONVERSION,0,0
1058643,1336,Landowner,2,"Taste, odour, colour, sediment and gas were previously and currently commented as being good. Landowner has had problems with current well before. After siesmic/oil gas operations came into area there was an apparent change in water quality: hard water with lots of iron. Had not previously had a problem. When they confronted has company they were told to prove it. They have since installed treatment for iron, water softener and in-line chlorinator.",38:47.7,CONVERSION,0,0
1058645,2303,Landowner,3,"Taste, sediment and gas were previously and currently commented on being good, however mentioned that other families do not like the water. Odour and colour were previously and currently commented as being fair due to the sulphur smell from the hot water tank and rusy looking colour. Landowner believes that blockage is from chlorine pellets from the in-line chlorinator.",38:47.7,CONVERSION,0,1
1058647,1866,Landowner,2,"Taste: good, Odour: good, Color: good, Sediment: good, Gas: fair (air comming from taps).",38:47.7,CONVERSION,0,0
1058649,1232,Landowner,2,"don't drink the water, only for stock.  Odour(good), Colour(good), Sedmiment(good), gas(good).  Quality(currently Fair - was Good).  TDS quality changed between 1990 and 2006.   
Land owner states barely enough water for current requirements",38:47.7,CONVERSION,0,0
1058651,1233,Landowner,2,"No comments on taste because the landowner does not drink the water. Odour, colour, sediment and gas were all previously rated as Good and currently all commented as Good.",38:47.7,CONVERSION,0,0
1058653,1631,Landowner,2,"Taste: previously good, currently fair, somedays taste different after limited use possibly. Odour, colour and gas all previously and currently good. Sediment previously good, currently fair, occasional some black flecs in water in the last year or so. Only is well shut down or power off then air in line and taps spurt. Sometimes when washing clothes seems like water is softer than normal-more soap suds.",38:47.7,CONVERSION,0,0
1058655,1279,Landowner,2,"All of taste, odour, colour, sediment and gas were previously rated as good and currently rated as good. No problems with the well in the past and no complaints or issues at the time.",38:47.7,CONVERSION,0,0
1058657,197,Landowner,2,"Taste(good),Odour(good),Colour(good),Sediment(fair) some black particles,Gas(good).",38:47.7,CONVERSION,0,0
1058661,1088,Landowner,3,"Colour and sediment were both previously and currently rated as good. Taste, odour and gas were all rated previously and currently as poor. Tast and odour were commented as rotten eggs. Comment for gas was that after sitting over night it sputters. There have been no other problems in the past or currently.",38:47.7,CONVERSION,0,1
1058663,1195,Landowner,3,"All taste, colour, odour, sediment and gas were rated previously and currently as good. There is a slight odour, but it is difficult to explain.",38:47.7,CONVERSION,0,1
1058665,41,Landowner,2,"Taste: poor (salty taste, changed with seismic activity), Odour: good, Color: good, Sediment: poor (changed with seismic acivity), Gas: good",38:47.7,CONVERSION,0,0
1058667,198,Landowner,2,"taste, odour, sediment, gas and colour were previusly and currenty reported as good",38:47.7,CONVERSION,0,0
1058669,941,Landowner,2,"Taste, odour, colour, sediment and gas were previously and currently commented being good.",38:47.7,CONVERSION,0,0
1058671,1923,Landowner,2,"Taste, odour, colour, sediment and gas were previously and currently commented as being good.",38:47.7,CONVERSION,0,0
1058673,643,Landowner,2,"Odour, colour, sediment and gas were previously and currently rated as good. Taste was not rated because it is used only for the stock.",38:47.7,CONVERSION,0,0
1058677,1321,Landowner,0,"Is the water supply currently enough for your present requirements?   Yes  ü     No _____ 
Taste:   Good  ü     Fair         Poor          Comments  _______________________________________                                                                            
Odour:  Good  ü     Fair           Poor          Comments  _______________________________________
Colour: Good   ü      Fair          Poor          Comments ________________________________________
Sediment: Good  ü  Fair       Poor          Comments ________________________________________
 Gas Observed In Water:  Yes         No  ü",38:47.7,CONVERSION,0,0
1058679,2510,Landowner,0,"Is the water supply currently enough for your present requirements?   Yes  ü     No _____ 

Taste:   Good   ü     Fair ___ Poor ___  Comments ______________________________________________ 
Odour:  Good   ü     Fair ___ Poor ___ Comments  ______________________________________________            
Colour: Good   ü     Fair ___ Poor ___  Comments  ______________________________________________
Sediment: Good  ü    Fair___ Poor ___Comments   ______________________________________________

Gas Observed in Water:  Yes  ü   No ___",38:47.7,CONVERSION,0,0
1058691,1950,Landowner,0,"Is the water supply currently enough for your present requirements?   Yes  ü     No _____ 
Taste:   Good   ü   Fair ___ Poor ___  Comments _____________________________________________ 
Odour:  Good ___  Fair  ü    Poor ___  Comments   Odour in water                                                    
Colour:  Good  ü    Fair ___ Poor ___   Comments ______________________________________________
Sediment: Good  ü  Fair __ Poor ___  Comments  ______________________________________________
Gas Observed in Water: Yes ___  No   ü",38:47.7,CONVERSION,0,0
1058697,1405,Landowner,0,"Is the water supply currently enough for your present requirements?   Yes  ü     No _____ 

Taste:   Good ___ Fair ___ Poor      Comments  Water is not used for drinking or cooking.     
Odour:  Good ___ Fair ___  Poor   ü  Comments ______________________________________
Colour:  Good   ü  Fair ___ Poor ___  Comments ______________________________________
Sediment: Good   ü  Fair ___  Poor ___ Comments _____________________________________
Gas Observed in Water:  Yes ___  No   ü",38:47.7,CONVERSION,0,0
1058699,5303,Landowner,0,"Is the water supply currently enough for your present requirements?   Yes  ü     No _____ 

Taste:   Good   ü   Fair ___ Poor      Comments ______________________________________________ 
Odour:  Good         Fair  ü     Poor ___  Comments    Slight H2S smell.                                                  
Colour:  Good ___ Fair   ü  Poor ___  Comments   Cloudy                                                                     
Sediment: Good   ü  Fair ___  Poor ___ Comments ____________________________________________
Gas Observed in Water:  Yes   ü   No ___",38:47.7,CONVERSION,0,0
